date;value
2018-12-11;5
2018-12-10;2
2018-12-09;3
2018-12-08;4
2018-12-07;3
2018-12-06;3
2018-12-05;3
2018-12-04;4
2018-12-03;3
2018-12-02;3
2018-12-01;2
2018-11-30;3
2018-11-29;2
2018-11-28;2
2018-11-27;5
2018-11-26;4
2018-11-25;4
2018-11-24;5
2018-11-23;7
2018-11-22;7
2018-11-21;6
2018-11-20;4
2018-11-19;3
2018-11-18;4
2018-11-17;4
2018-11-16;3
2018-11-15;4
2018-11-14;3
2018-11-13;3
2018-11-12;3
2018-11-11;3
2018-11-10;2
2018-11-09;3
2018-11-08;3
2018-11-07;2
2018-11-06;3
2018-11-05;6
2018-11-04;5
2018-11-03;5
2018-11-02;4
2018-11-01;2
2018-10-31;3
2018-10-30;2
2018-10-29;3
2018-10-28;3
2018-10-27;3
2018-10-26;3
2018-10-25;4
2018-10-24;3
2018-10-23;3
2018-10-22;4
2018-10-21;7
2018-10-20;5
2018-10-19;5
2018-10-18;4
2018-10-17;4
2018-10-16;6
2018-10-15;4
2018-10-14;3
2018-10-13;3
2018-10-12;3
2018-10-11;3
2018-10-10;6
2018-10-09;5
2018-10-08;4
2018-10-07;3
2018-10-06;5
2018-10-05;5
2018-10-04;3
2018-10-03;3
2018-10-02;2
2018-10-01;3
2018-09-30;4
2018-09-29;3
2018-09-28;4
2018-09-27;4
2018-09-26;4
2018-09-25;4
2018-09-24;3
2018-09-23;3
2018-09-22;3
2018-09-21;4
2018-09-20;4
2018-09-19;4
2018-09-18;4
2018-09-17;5
2018-09-16;3
2018-09-15;3
2018-09-14;3
2018-09-13;3
2018-09-12;2
2018-09-11;3
2018-09-10;3
2018-09-09;4
2018-09-08;3
2018-09-07;3
2018-09-06;3
2018-09-05;4
2018-09-04;4
2018-09-03;4
2018-09-02;5
2018-09-01;4
2018-08-31;3
2018-08-30;3
2018-08-29;3
2018-08-28;3
2018-08-27;3
2018-08-26;3
2018-08-25;3
2018-08-24;3
2018-08-23;3
2018-08-22;3
2018-08-21;3
2018-08-20;3
2018-08-19;3
2018-08-18;3
2018-08-17;3
2018-08-16;3
2018-08-15;3
2018-08-14;3
2018-08-13;3
2018-08-12;4
2018-08-11;4
2018-08-10;3
2018-08-09;2
2018-08-08;4
2018-08-07;6
2018-08-06;7
2018-08-05;5
2018-08-04;5
2018-08-03;8
2018-08-02;5
2018-08-01;4
2018-07-31;3
2018-07-30;3
2018-07-29;3
2018-07-28;3
2018-07-27;6
2018-07-26;8
2018-07-25;7
2018-07-24;6
2018-07-23;5
2018-07-22;6
2018-07-21;5
2018-07-20;5
2018-07-19;5
2018-07-18;4
2018-07-17;4
2018-07-16;6
2018-07-15;6
2018-07-14;5
2018-07-13;4
2018-07-12;4
2018-07-11;4
2018-07-10;3
2018-07-09;3
2018-07-08;5
2018-07-07;6
2018-07-06;6
2018-07-05;5
2018-07-04;6
2018-07-03;7
2018-07-02;7
2018-07-01;6
2018-06-30;7
2018-06-29;5
2018-06-28;6
2018-06-27;6
2018-06-26;5
2018-06-25;4
2018-06-24;4
2018-06-23;4
2018-06-22;3
2018-06-21;3
2018-06-20;3
2018-06-19;2
2018-06-18;3
2018-06-17;3
2018-06-16;3
2018-06-15;4
2018-06-14;3
2018-06-13;4
2018-06-12;4
2018-06-11;4
2018-06-10;6
2018-06-09;6
2018-06-08;6
2018-06-07;6
2018-06-06;7
2018-06-05;6
2018-06-04;7
2018-06-03;5
2018-06-02;3
2018-06-01;3
2018-05-31;5
2018-05-30;7
2018-05-29;6
2018-05-28;7
2018-05-27;5
2018-05-26;6
2018-05-25;9
2018-05-24;5
2018-05-23;6
2018-05-22;6
2018-05-21;5
2018-05-20;6
2018-05-19;4
2018-05-18;4
2018-05-17;5
2018-05-16;6
2018-05-15;7
2018-05-14;5
2018-05-13;4
2018-05-12;4
2018-05-11;4
2018-05-10;4
2018-05-09;5
2018-05-08;6
2018-05-07;6
